,,,,,,,,
CONSEJO NACIONAL DE FIJACIÓN Y REVISIÓN DE PRECIOS DE MEDICAMENTOS DE USO Y CONSUMO HUMANO ,,,,,,,,
CONSOLIDADO DE PRECIOS TECHO ACTUALIZADO,,,,,,,,
,,,,,,,,
Resolución,Item,Sesión de Consejo,Principio Activo,Primer Nivel de Desagregación,Forma Farmacéutica,Concentración ,Presentación Comercial , Precio Techo (USD )  
Resolución 10 (Anexo A),508,,CLINDAMICINA,SÓLIDO VAGINAL,SVA-01,100 mg,-,$2.5600
Resolución 10 (Anexo A),510,,CLINDAMICINA,LÍQUIDO PARENTERAL,LPA-02,150 mg/ml,-,$0.7825
Resolución 10 (Anexo A),511,,CLOBAZAM,SÓLIDO ORAL,SOR-01,10 mg,-,$0.2000
Resolución 10 (Anexo A),512,,CLOBAZAM,SÓLIDO ORAL,SOR-01,20 mg,-,$0.3900
Resolución 10 (Anexo A),513,,CLOBETASOL,SEMISÓLIDO CUTÁNEO,SSC-01,0.05%,15 g,$2.0100
Resolución 10 (Anexo A),514,,CLOBETASOL,SEMISÓLIDO CUTÁNEO,SSC-01,0.05%,25 g,$6.8800
Resolución 10 (Anexo A),515,,CLOBETASOL,SEMISÓLIDO CUTÁNEO,SSC-01,0.05%,30 g,$8.3300
Resolución 10 (Anexo A),516,,CLOBETASOL,SEMISÓLIDO CUTÁNEO,SSC-01,0.05%,40 g,$7.8600
STFP-01-693-2020,,693,CLOBETAZOL, LÍQUIDO CUTÁNEO , LCU-01 ,0.05%,  - ,$0.2125
Resolución 10 (Anexo A),517,,CLOFARABINA,LÍQUIDO PARENTERAL,LPA-02,1 mg/ml,-,$189.6310
Resolución 10 (Anexo A),518,,CLOMIFENO,SÓLIDO ORAL,SOR-01,50 mg,-,$1.1000
Resolución 10 (Anexo A),523,,CLONAZEPAM,SÓLIDO ORAL,SOR-01,"0,5 mg",-,$0.2100
Resolución 10 (Anexo A),524,,CLONAZEPAM,SÓLIDO ORAL,SOR-01,1 mg,-,$0.2300
Resolución 10 (Anexo A),525,,CLONAZEPAM,SÓLIDO ORAL,SOR-01,2 mg,-,$0.2982
STFP-011-710-2022,,710,CLONAZEPAM,SÓLIDO ORAL,SOR-03,2 mg,-,$0.8524
Resolución 10 (Anexo A),520,,CLONAZEPAM,LÍQUIDO ORAL,LOR-01,"2,5 mg/ml",10 ml,$4.5400
Resolución 10 (Anexo A),521,,CLONAZEPAM,LÍQUIDO ORAL,LOR-01,"2,5 mg/ml",20 ml,$7.1200
Resolución 10 (Anexo A),522,,CLONAZEPAM,LÍQUIDO ORAL,LOR-01,"2,5 mg/ml",30 ml,$7.2500
Resolución 10 (Anexo A),526,,CLOPIDOGREL,SÓLIDO ORAL,SOR-01,300 mg,-,$8.3400
Resolución 10 (Anexo A),527,,CLOPIDOGREL,SÓLIDO ORAL,SOR-01,75 mg,-,$0.9900
Resolución 10 (Anexo A),528,,CLORAMBUCILO,SÓLIDO ORAL,SOR-01,2 mg,-,$0.4700
Resolución 10 (Anexo A),529,,CLORANFENICOL,LÍQUIDO OFTÁLMICO,LOF-01,0.50%,-,$0.2580
Resolución 10 (Anexo A),530,,CLORANFENICOL,SEMISÓLIDO OFTÁLMICO,SSF-01,1%,-,$0.8114
Resolución 10 (Anexo A),532,,CLOROQUINA,SÓLIDO ORAL,SOR-01,250 mg,-,$0.0500
Resolución 10 (Anexo A),534,,CLORPROMAZINA,SÓLIDO ORAL,SOR-01,25 mg,-,$0.1700
Resolución 10 (Anexo A),533,,CLORPROMAZINA,LÍQUIDO PARENTERAL,LPA-02,"12,5 mg/ml",-,$0.2300
Resolución 16-2017,110,670,CLORPROMAZINA,LÍQUIDO ORAL,LOR-04,25 mg/ml,-,-
STFP-007-761-2025,,761,CLORPROMAZINA,SÓLIDO ORAL,SOR-01,100 mg,-,$0.1700
Resolución 10 (Anexo A),535,,CLORTALIDONA,SÓLIDO ORAL,SOR-01,50 mg,-,$0.1700
STFP-01-693-2020,,693,CLORTALIDONA, SÓLIDO ORAL , SOR-01 ," 12,5 mg ",-,$0.5000
STFP-08-715-2022,,715,CLORTALIDONA,SÓLIDO ORAL,SOR-01,25 mg,-,$0.5241
Resolución 10 (Anexo A),536,,CLORURO DE POTASIO,LÍQUIDO PARENTERAL,LPA-02,2 meq/ml,-,$0.0665
Resolución 10 (Anexo A),541,,CLORURO DE SODIO,LÍQUIDO PARENTERAL,LPA-02,"3,4 meq/ml (20%)",10 ml ,$0.5600
Resolución 10 (Anexo A),537,,CLORURO DE SODIO,LÍQUIDO PARENTERAL,LPA-02,0.90%,100 ml,$0.9800
Resolución 10 (Anexo A),540,,CLORURO DE SODIO,LÍQUIDO PARENTERAL,LPA-02,0.90%,1000 ml,$2.0600
Resolución 10 (Anexo A),538,,CLORURO DE SODIO,LÍQUIDO PARENTERAL,LPA-02,0.90%,250 ml,$1.0700
Resolución 10 (Anexo A),539,,CLORURO DE SODIO,LÍQUIDO PARENTERAL,LPA-02,0.90%,500 ml,$1.3400
Resolución 10 (Anexo A),548,,CLOTRIMAZOL,SEMISÓLIDO VAGINAL,SSV-01,2%,-,$0.2630
Resolución 10 (Anexo A),549,,CLOTRIMAZOL,SÓLIDO VAGINAL,ÓVULOS,100 mg,-,$0.9700
Resolución 10 (Anexo A),550,,CLOTRIMAZOL,SÓLIDO VAGINAL,ÓVULOS,200 mg,-,$1.1000
Resolución 10 (Anexo A),551,,CLOTRIMAZOL,SÓLIDO VAGINAL,ÓVULOS,500 mg,-,$3.1300
Resolución 10 (Anexo A),552,,CLOTRIMAZOL,SÓLIDO VAGINAL,TABLETA VAGINAL,100 mg,-,$0.2200
Resolución 10 (Anexo A),553,,CLOTRIMAZOL,SÓLIDO VAGINAL,TABLETA VAGINAL,200 mg,-,$0.2700
Resolución 10 (Anexo A),554,,CLOTRIMAZOL,SÓLIDO VAGINAL,TABLETA VAGINAL,500 mg,-,$3.1000
Resolución 10 (Anexo A),545,,CLOTRIMAZOL,SEMISÓLIDO VAGINAL ,SSV-01,1%,20 g,$4.3300
Resolución 10 (Anexo A),542,,CLOTRIMAZOL,SEMISÓLIDO CUTÁNEO,SSC-01,1%,20 g,$1.5100
Resolución 10 (Anexo A),544,,CLOTRIMAZOL,LÍQUIDO CUTÁNEO,LCU-01,1%,30 ml ,$1.9500
Resolución 10 (Anexo A),546,,CLOTRIMAZOL,SEMISÓLIDO VAGINAL ,SSV-01,1%,40 g,$2.4300
Resolución 10 (Anexo A),543,,CLOTRIMAZOL,SEMISÓLIDO CUTÁNEO,SSC-01,1%,40 g,$1.3700
Resolución 10 (Anexo A),547,,CLOTRIMAZOL,SEMISÓLIDO VAGINAL ,SSV-01,1%,50 g,$5.2100
Resolución 10 (Anexo A),555,,CLOZAPINA,SÓLIDO ORAL,SOR-01,100 mg,-,$1.1900
Resolución 10 (Anexo A),556,,CLOZAPINA,SÓLIDO ORAL,SOR-01,25 mg,-,$0.4600
STFP-001-768-2025,,768,COBIMETINIB,SÓLIDO ORAL,SOR-01,20 mg,-,$60.3500
Resolución 10 (Anexo A),557,,CODEINA,SÓLIDO ORAL,SOR-01,10 mg,-,$0.4600
Resolución 10 (Anexo A),558,,COLCHICINA,SÓLIDO ORAL,SOR-01,"0,5 mg",-,$0.0600
STFP-003-705-2021,,705,COLISTIMETATO, SÓLIDO PARENTERAL  ,SPA-04,1 MILL UI,-,$8.9250
Resolución 10 (Anexo A),559,,COLISTINA,SÓLIDO PARENTERAL,SPA-04,100 mg,-,$32.7100
Resolución 10 (Anexo A),560,,COMBINACIONES (LACTATO DE RINGER),LÍQUIDO PARENTERAL,LPA-02,ND,100 ml,$0.4300
Resolución 10 (Anexo A),563,,COMBINACIONES (LACTATO DE RINGER),LÍQUIDO PARENTERAL,LPA-02,ND,1000 ml,$2.0600
Resolución 10 (Anexo A),561,,COMBINACIONES (LACTATO DE RINGER),LÍQUIDO PARENTERAL,LPA-02,ND,250 ml,$1.0800
Resolución 10 (Anexo A),562,,COMBINACIONES (LACTATO DE RINGER),LÍQUIDO PARENTERAL,LPA-02,ND,500 ml,$1.3000
Resolución 10 (Anexo A),570,,"COMPLEJO B
•TIAMINA (VITAMINA B1)
•PIRIDOXINA (VITAMINA B6) 
•CIANOCOBALAMINA (VITAMINA B12)
*SE DESCRIBEN LOS COMPONENTES Y CONCENTRACIONES MINIMOS NECESARIOS DE ESTA COMBINACION, SE PUEDEN ADHERIR OTRAS VITAMINAS DEL COMPLEJO B SIEMPRE Y CUANDO SE CUMPLA CON LOS REQUISITOS AQUI DETALLADOS.",SÓLIDO ORAL,SOR-01,Conc. Min.  4 mg + 1 mg + 1 MCg,-,$0.1600
Resolución 10 (Anexo A),564,,"COMPLEJO B
•TIAMINA (VITAMINA B1)
•PIRIDOXINA (VITAMINA B6) 
•CIANOCOBALAMINA (VITAMINA B12)
*SE DESCRIBEN LOS COMPONENTES Y CONCENTRACIONES MINIMOS NECESARIOS DE ESTA COMBINACION, SE PUEDEN ADHERIR OTRAS VITAMINAS DEL COMPLEJO B SIEMPRE Y CUANDO SE CUMPLA CON LOS REQUISITOS AQUI DETALLADOS.",SÓLIDO PARENTERAL,SPA-04,"Conc. Min.: 200 mg + 50 mg + 0,030 mg",-,$12.7600
Resolución 10 (Anexo A),567,,"COMPLEJO B
•TIAMINA (VITAMINA B1)
•PIRIDOXINA (VITAMINA B6) 
•CIANOCOBALAMINA (VITAMINA B12)
*SE DESCRIBEN LOS COMPONENTES Y CONCENTRACIONES MINIMOS NECESARIOS DE ESTA COMBINACION, SE PUEDEN ADHERIR OTRAS VITAMINAS DEL COMPLEJO B SIEMPRE Y CUANDO SE CUMPLA CON LOS REQUISITOS AQUI DETALLADOS.",LÍQUIDO PARENTERAL,LPA-02,(100 mg + 100 mg + 1 mg)/2 ml,-,$0.8500
Resolución 10 (Anexo A),569,,"COMPLEJO B
•TIAMINA (VITAMINA B1)
•PIRIDOXINA (VITAMINA B6) 
•CIANOCOBALAMINA (VITAMINA B12)
*SE DESCRIBEN LOS COMPONENTES Y CONCENTRACIONES MINIMOS NECESARIOS DE ESTA COMBINACION, SE PUEDEN ADHERIR OTRAS VITAMINAS DEL COMPLEJO B SIEMPRE Y CUANDO SE CUMPLA CON LOS REQUISITOS AQUI DETALLADOS.",LÍQUIDO PARENTERAL,LPA-02,Conc. MIn. 200 mg + 50 mg + 100 mg + 30 MCg,10 ml,$3.1600
Resolución 10 (Anexo A),565,,"COMPLEJO B
•TIAMINA (VITAMINA B1)
•PIRIDOXINA (VITAMINA B6) 
•CIANOCOBALAMINA (VITAMINA B12)
*SE DESCRIBEN LOS COMPONENTES Y CONCENTRACIONES MINIMOS NECESARIOS DE ESTA COMBINACION, SE PUEDEN ADHERIR OTRAS VITAMINAS DEL COMPLEJO B SIEMPRE Y CUANDO SE CUMPLA CON LOS REQUISITOS AQUI DETALLADOS.",LÍQUIDO PARENTERAL,LPA-02,Conc. MIn. 100 mg + 100 mg  + 10 mg,"2 ml
JERINGUILLA PRELLENADA DOBLE CÁMARA",$4.9000
Resolución 10 (Anexo A),566,,"COMPLEJO B
•TIAMINA (VITAMINA B1)
•PIRIDOXINA (VITAMINA B6) 
•CIANOCOBALAMINA (VITAMINA B12)
*SE DESCRIBEN LOS COMPONENTES Y CONCENTRACIONES MINIMOS NECESARIOS DE ESTA COMBINACION, SE PUEDEN ADHERIR OTRAS VITAMINAS DEL COMPLEJO B SIEMPRE Y CUANDO SE CUMPLA CON LOS REQUISITOS AQUI DETALLADOS.",LÍQUIDO PARENTERAL,LPA-02,Conc. Min. 100 mg + 100 mg + 10 mg,"3 ml
JERINGUILLA PRELLENADA",$2.9000
Resolución 10 (Anexo A),568,,"COMPLEJO B
•TIAMINA (VITAMINA B1)
•PIRIDOXINA (VITAMINA B6) 
•CIANOCOBALAMINA (VITAMINA B12)
*SE DESCRIBEN LOS COMPONENTES Y CONCENTRACIONES MINIMOS NECESARIOS DE ESTA COMBINACION, SE PUEDEN ADHERIR OTRAS VITAMINAS DEL COMPLEJO B SIEMPRE Y CUANDO SE CUMPLA CON LOS REQUISITOS AQUI DETALLADOS.",LÍQUIDO PARENTERAL,LPA-02,Conc. Min. 100 mg + 100 mg + 1.5 mg,3 ml,$1.1700
STFP-017-694-2021,,694,"COMPLEJO B
TIAMINA (VITAMINA B1) + PIRIDOXINA (VITAMINA B6) + CIANOCOBALAMINA (VITAMINA B12)",LÍQUIDO ORAL,LOR-01,(50 mg + 20 mg + 0.1 mg)/ 5 ml, -,$0.0944
STFP-001-716-2022,,716,"COMPLEJO B
TIAMINA + PIRIDOXINA + CIANOCOBALAMINA",LÍQUIDO PARENTERAL,LPA-02,(33.33 mg + 33.33 mg + 333.33 mcg)/ml,-,$0.3900
STFP-015-683-2018,,683,COMPLEJO DE HIDRÓXIDO DE HIERRO (III) POLIMALTOSADO (EQUIVALENTE A HIERRO) + ÁCIDO FÓLICO,SÓLIDO ORAL,SOR-01,"60 mg + 0,4 mg",-,$0.1600
Resolución 16-2017,22,670,COMPLEJO DE HIERRO POLIMALTOSADO (HIERRO ELEMENTAL),LÍQUIDO ORAL,LOR-01,20 mg/ml, -,$0.9700
Resolución 16-2017,73,673,COMPLEJO DE HIERRO POLIMALTOSADO (HIERRO ELEMENTAL),LÍQUIDO ORAL,LOR-01,50 mg/5 ml, -,$0.6058
STFP-02-683-2018,,683,COMPLEJO DE HIERRO SACAROSA (HIERRO ELEMENTAL),LÍQUIDO PARENTERAL,LPA-02,"100 mg/5 mL (equivalente a hierro elemental)
(20 mg/ml)", -,$2.6180
Resolución 10 (Anexo A),576,,COTRIMOXAZOL (SULFAMETOXAZOL + TRIMETOPRIMA ),SÓLIDO ORAL,SOR-01,400 mg + 80 mg,-,$0.2888
Resolución 10 (Anexo A),577,,COTRIMOXAZOL (SULFAMETOXAZOL + TRIMETOPRIMA ),SÓLIDO ORAL,SOR-01,800 mg + 160 mg,-,$0.6466
Resolución 10 (Anexo A),573,,COTRIMOXAZOL (SULFAMETOXAZOL + TRIMETOPRIMA ),LÍQUIDO ORAL,LOR-01,200 mg + 40 mg/5 ml,-,$0.3826
Medicamentos nuevos Consolidados,20,641,CRIZOTINIB,SÓLIDO ORAL,SOR-01,250 mg,-,$99.6000
Resolución 10 (Anexo A),578,,DABIGATRAN ETEXILATO,SÓLIDO ORAL,SOR-01,110 mg,-,$5.0500
Resolución 10 (Anexo A),579,,DABIGATRAN ETEXILATO,SÓLIDO ORAL,SOR-01,150 mg,-,$2.8400
Resolución 10 (Anexo A),580,,DABIGATRAN ETEXILATO,SÓLIDO ORAL,SOR-01,75 mg,-,$5.0500
STFP-01-693-2020,,693,DABRAFENIB, SÓLIDO ORAL , SOR-01 , 75 mg ,-,$51.6700
Resolución 10 (Anexo A),581,,DACARBAZINA,SÓLIDO PARENTERAL,SPA-04,100 mg,-,$21.8700
STFP-002-705-2021,,705,DACARBAZINA, SÓLIDO PARENTERAL  ,SPA-04,200 mg,-,$43.7400
STFP-004-712-2022,,712,DACOMITINIB,SÓLIDO ORAL,SOR-01,15 mg,-,$110.8900
STFP-005-712-2022,,712,DACOMITINIB,SÓLIDO ORAL,SOR-01,30 mg,-,$110.8900
STFP-006-712-2022,,712,DACOMITINIB,SÓLIDO ORAL,SOR-01,45 mg,-,$110.8900
Medicamentos nuevos Consolidados,21,639,DACTINOMICINA,SÓLIDO PARENTERAL,SPA-04,"0,5 mg", -,$28.0000
Resolución 16-2017,152,675,DALTEPARINA,LÍQUIDO PARENTERAL,LPA-02,"2500 IU/0,2 ml",-,-
Resolución 10 (Anexo A),582,,DALTEPARINA,LÍQUIDO PARENTERAL,LPA-02,5 000 UI,2 ml,$9.7100
Medicamentos nuevos Consolidados,22,653,DAPAGLIFLOZINA,SÓLIDO ORAL,SOR-01,5 mg ,-,$1.6000
Medicamentos nuevos Consolidados,23,653,DAPAGLIFLOZINA,SÓLIDO ORAL,SOR-01,10 mg,-,$1.7000
Resolución 10 (Anexo A),583,,DAPSONA,SÓLIDO ORAL,SOR-01,100 mg,-,$0.4400
STFP-016-708-2021,,708,DARATUMUMAB,LÍQUIDO PARENTERAL,LPA-02,20 mg/ml,-,$66.4066
STFP-007-712-2022,,712,DAROLUTAMIDA,SÓLIDO ORAL,SOR-01,300 mg,-,$40.8406
Resolución 10 (Anexo A),584,,DARUNAVIR,SÓLIDO ORAL,SOR-01,400 mg,-,$11.0400
Resolución 10 (Anexo A),585,,DARUNAVIR,SÓLIDO ORAL,SOR-01,600 mg,-,$15.8500
Resolución 10 (Anexo A),586,,DASATINIB,SÓLIDO ORAL,SOR-01,100 mg,-,$127.8100
Resolución 10 (Anexo A),587,,DASATINIB,SÓLIDO ORAL,SOR-01,20 mg,-,$33.9500
Resolución 10 (Anexo A),588,,DASATINIB,SÓLIDO ORAL,SOR-01,50 mg,-,$60.3500
Resolución 10 (Anexo A),589,,DASATINIB,SÓLIDO ORAL,SOR-01,70 mg,-,$72.4800
Resolución 10 (Anexo A),590,,DAUNORUBICINA,LÍQUIDO PARENTERAL,LPA-02,20 mg / 10 mL,_,$19.6300
Resolución 10 (Anexo A),591,,DEFERASIROX,SÓLIDO ORAL,SOR-03,125 mg,-,$19.6500
Resolución 10 (Anexo A),592,,DEFERASIROX,SÓLIDO ORAL,SOR-03,250 mg,-,$34.6000
Resolución 10 (Anexo A),593,,DEFERASIROX,SÓLIDO ORAL,SOR-03,500 mg,-,$59.2000
Resolución 10 (Anexo A),594,,DEFLAZACORT,SÓLIDO ORAL,SOR-01,30 mg,-,$2.2200
Resolución 10 (Anexo A),595,,DEFLAZACORT,SÓLIDO ORAL,SOR-01,6 mg,-,$0.5100
Medicamentos nuevos Consolidados,107,661,DEGARELIX,SÓLIDO PARENTERAL,SPA-04,80 mg, -,$426.6500
Medicamentos nuevos Consolidados,108,661,DEGARELIX,SÓLIDO PARENTERAL,SPA-04,120 mg, -,$752.0000
Resolución 10 (Anexo A),596,,DENOSUMAB,LÍQUIDO PARENTERAL,LPA-02,60 mg,JERINGA PRELLENADA,$321.6400
Medicamentos nuevos Consolidados,84,634,DENOSUMAB ,LÍQUIDO PARENTERAL,LPA-02,"70,59 mg/ml", -,$261.1000
STFP-003-761-2025,,761,"DERISOMALTOSA FERRICA
(EQUIVALENTE A HIERRO)",LÍQUIDO PARENTERAL,LPA-02,"417 mg/mL
(Equivalente a 100 mg/mL)",-,$14.9340
Resolución 10 (Anexo A),597,,DESFLURANO,LÍQUIDO PARA INHALACIÓN,LNA-02,100 %,-,$0.9626
Resolución 10 (Anexo A),604,,DESMOPRESINA,LÍQUIDO PARENTERAL,LPA-02,15 mcg / mL,-,$19.9000
Resolución 10 (Anexo A),602,,DESMOPRESINA,LÍQUIDO PARA INHALACIÓN,LNA-02,100 mcg / mL,5 ml,$68.4700
Resolución 10 (Anexo A),603,,DESMOPRESINA,LÍQUIDO PARA INHALACIÓN,LNA-02,100 mcg / mL,6 ml,$73.3800
Resolución 10 (Anexo A),608,,DESONIDA,LÍQUIDO CUTÁNEO,LCU-01,0.05%,-,$0.2063
STFP-01-693-2020,,693,DESONIDA, SEMISÓLIDO CUTÁNEO , SSC-01 ," 1 mg/g 
(0,1 %) ",  - ,$0.2996
Resolución 16-2017,8,669,DESVENLAFAXINA,SÓLIDO ORAL,TABLETA DE LIBERACIÓN PROLONGADA,50 mg,-,$2.3100
Resolución 10 (Anexo A),609,,DESVENLAFAXINA,SÓLIDO ORAL,TABLETA LIBERACIÓN PROLONGADA,100 mg,-,$1.7500
Resolución 10 (Anexo A),612,,DEXAMETASONA,LÍQUIDO OFTÁLMICO,LOF-01,1 mg/ml,-,$1.7120
STFP-01-693-2020,,693,DEXAMETASONA, SÓLIDO ORAL , SOR-01 , 8 mg ,-,$0.7209
Resolución 10 (Anexo A),610,,DEXAMETASONA,LÍQUIDO PARENTERAL,LPA-02,4 mg / mL,1 mL,$0.3600
Resolución 10 (Anexo A),611,,DEXAMETASONA,LÍQUIDO PARENTERAL,LPA-02,4 mg / mL,2 mL,$1.2500
STFP-01-693-2020,,693,DEXAMETASONA (DEXAMETASONA ACETATO + DEXAMETASONA SODIO FOSFATO), LÍQUIDO PARENTERAL , LPA-02 , (8 mg + 2 mg)/ml ,  - ,$3.2379
Resolución 10 (Anexo A),615,,DEXAMETASONA + TOBRAMICINA,SEMISÓLIDO OFTÁLMICO,SSF-01,"0,1 % + 0,3 %",-,$1.8829
Resolución 10 (Anexo A),613,,DEXAMETASONA + TOBRAMICINA,LÍQUIDO OFTÁLMICO,LOF-01,"0,1 % + 0,3 %",5 ml,$7.6100
Resolución 10 (Anexo A),614,,DEXAMETASONA + TOBRAMICINA,LÍQUIDO OFTÁLMICO,LOF-01,"0,1 % + 0,3 %",6 ml,$6.9400
Resolución 10 (Anexo A),616,,DEXMEDETOMIDINA,LÍQUIDO PARENTERAL,LPA-02,100 mcg/ml,-,$19.9550
Resolución 10 (Anexo A),617,,DEXRAZOXANO,SÓLIDO PARENTERAL,SPA-04,500 mg,-,$392.8800
Resolución 10 (Anexo A),620,,DIAZEPAM,SÓLIDO ORAL,SOR-01,10 mg,-,$0.1100
Resolución 10 (Anexo A),621,,DIAZEPAM,SÓLIDO ORAL,SOR-01,5 mg,-,$0.0900
Resolución 10 (Anexo A),618,,DIAZEPAM,LÍQUIDO PARENTERAL,LPA-02,5 mg / mL,-,$0.6900
Resolución 10 (Anexo A),619,,DIAZEPAM,LÍQUIDO PARENTERAL,LPA-02,5 mg / mL,-,$1.0000
Resolución 10 (Anexo A),623,,DICLOFENACO,SÓLIDO ORAL,SOR-01,50 mg,-,$0.2000
Resolución 10 (Anexo A),625,,DICLOFENACO,SÓLIDO ORAL,SOR-06,50 mg,-,$0.6100
Resolución 10 (Anexo A),626,,DICLOFENACO,LÍQUIDO PARENTERAL,LPA-02,25 mg/ml,-,$0.3027
Resolución 10 (Anexo A),641,,DICLOFENACO,LÍQUIDO OFTÁLMICO,LOF-01,0.10%,10 ml,$7.4000
Resolución 10 (Anexo A),640,,DICLOFENACO,LÍQUIDO OFTÁLMICO,LOF-01,0.10%,5 ml,$10.2500
STFP-002-770-2025,,770,DICLOFENACO,SÓLIDO ORAL,SOR-02,50 mg,-,$0.2100
Resolución 10 (Anexo A),649,,DICLOXACILINA,SÓLIDO ORAL,SOR-01,500 mg,-,$0.2000
Resolución 10 (Anexo A),644,,DICLOXACILINA,SÓLIDO ORAL,SOR-06,125 mg/5 ml,60 ml,$1.7500
Resolución 10 (Anexo A),646,,DICLOXACILINA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,60 ml,$2.5000
Resolución 10 (Anexo A),645,,DICLOXACILINA,SÓLIDO ORAL,SOR-06,125 mg/5 ml,80 ml,$2.3000
Resolución 10 (Anexo A),647,,DICLOXACILINA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,80 ml,$2.6500
Resolución 10 (Anexo A),648,,DICLOXACILINA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,90 ml,$4.3600
Resolución 10 (Anexo A),650,,DIDANOSINA,SÓLIDO ORAL,SOR-03,100 mg,-,$1.3600
Resolución 10 (Anexo A),651,,DIDANOSINA,SÓLIDO ORAL,SOR-01,400 mg,-,$5.6500
Resolución 10 (Anexo A),657,,DIFENHIDRAMINA,SÓLIDO ORAL,SOR-01,50 mg,-,$0.0900
Resolución 10 (Anexo A),656,,DIFENHIDRAMINA,LÍQUIDO PARENTERAL,LPA-02,50 mg/ml,-,$0.4700
STFP-03-685-2018,,685,DIFENHIDRAMINA,LÍQUIDO ORAL,LOR-01,"12,5 mg / 5 mL", -,$0.0590
Resolución 10 (Anexo A),660,,DIGOXINA,SÓLIDO ORAL,SOR-01,"0,25 mg",-,$0.0400
Resolución 10 (Anexo A),658,,DIGOXINA,LÍQUIDO ORAL,LOR-01,50 mcg/ml,-,$7.5600
Resolución 10 (Anexo A),659,,DIGOXINA,LÍQUIDO PARENTERAL,LPA-02,"0,25 mg/ml",-,$3.7800
Resolución 10 (Anexo A),663,,DILTIAZEM,SÓLIDO ORAL,SOR-01,180 mg,-,$1.0300
Resolución 10 (Anexo A),665,,DILTIAZEM,SÓLIDO ORAL,SOR-01,240 mg,-,$1.6500
Resolución 10 (Anexo A),666,,DILTIAZEM,SÓLIDO ORAL,SOR-01,60 mg,-,$0.1800
Resolución 10 (Anexo A),667,,DILTIAZEM,SÓLIDO ORAL,SOR-02,120 mg,-,$0.7500
Resolución 10 (Anexo A),668,,DILTIAZEM,SÓLIDO ORAL,SOR-02,90 mg,-,$0.3200
Resolución 10 (Anexo A),664,,DILTIAZEM,SÓLIDO PARENTERAL,SPA-04,25 mg,-,$11.1000
Resolución 10 (Anexo A),669,,DIMENHIDRINATO,SÓLIDO ORAL,SOR-01,50 mg,-,$0.0400
STFP-003-702-2021,,702,DIMETILFUMARATO,SÓLIDO ORAL,SOR-01,120 mg,-,$29.5593
STFP-005-725-2023,,725,DIMETILFUMARATO,SÓLIDO ORAL,SOR-01,240 mg,-,$56.6700
STFP-009-761-2025,,761,DIÓXIDO DE CARBONO,GAS ORAL,GAO-01,Mínimo 99.5% de CO2,-,$3.7350
Resolución 10 (Anexo A),670,,DISULFIRAM,SÓLIDO ORAL,SOR-01,500 mg,-,$0.0500
Resolución 10 (Anexo A),671,,DOBESILATO CALCICO,SÓLIDO ORAL,SOR-01,500 mg,-,$1.5800
Resolución 10 (Anexo A),672,,DOBUTAMINA,LÍQUIDO PARENTERAL,LPA-02,50 mg / mL,-,$4.3680
Resolución 10 (Anexo A),673,,DOCETAXEL,LÍQUIDO PARENTERAL,LPA-02,20 mg,-,$120.4200
Resolución 10 (Anexo A),674,,DOCETAXEL,LÍQUIDO PARENTERAL,LPA-02,80 mg,-,$311.4200
Medicamentos nuevos Consolidados,28,649,DOLUTEGRAVIR + ABACAVIR + LAMIVUDINA,SÓLIDO ORAL,SOR-01,50 mg + 600 mg + 300 mg,-,$23.0000
Medicamentos nuevos Consolidados,27,639,DOLUTEGRAVIR SÓDICO,SÓLIDO ORAL,SOR-01,50 mg ,-,$18.4000
Resolución 10 (Anexo A),675,,DOPAMINA,LÍQUIDO PARENTERAL,LPA-02,40 mg / mL,-,$0.2580
Resolución 10 (Anexo A),676,,DORNASA ALFA (DESOXIRRIBONUCLEASA),LÍQUIDO PARA INHALACIÓN,LNA-02,"2,5 mg/2,5 ml (2 500 UI)","2,5 ml ",$34.5900
STFP-011-694-2021,,694,DORZOLAMIDA + TIMOLOL + BRIMONIDINA,LÍQUIDO OFTÁLMICO,LOF-01,(20 mg + 5 mg + 2 mg)/ml, -,$7.3555
Resolución 10 (Anexo A),678,,DOXAZOSINA,SÓLIDO ORAL,SOR-01,1 mg,-,$0.3900
Resolución 10 (Anexo A),679,,DOXAZOSINA,SÓLIDO ORAL,SOR-01,2 mg,-,$0.6700
Resolución 10 (Anexo A),680,,DOXAZOSINA,SÓLIDO ORAL,SOR-01,4 mg,-,$1.3200
STFP-005-735-2023,,735,DOXAZOSINA,SÓLIDO ORAL,SOR-02,4 mg,-,$1.0300
Medicamentos nuevos Consolidados,29,649,DOXAZOSINA + FINASTERIDA,SÓLIDO ORAL,SOR-01,2 mg + 5 mg,-,$1.3300
Resolución 10 (Anexo A),681,,DOXICICLINA,SÓLIDO ORAL,SOR-01,100 mg,-,$0.2300
Resolución 10 (Anexo A),683,,DOXORUBICINA,SÓLIDO PARENTERAL,SPA-04,10 mg,-,$16.9600
Resolución 10 (Anexo A),684,,DOXORUBICINA,SÓLIDO PARENTERAL,SPA-04,50 mg,-,$47.9400
STFP-014-709-2021,,709,DOXORUBICINA,LÍQUIDO PARENTERAL,LPA-02,2 mg/ml,-,$20.6100
